species,guild
CocVit,plant
AnaCol,plant
SebMac,plant
PoiGar,plant
AmbCea,plant
CynHas,plant
PseMar,plant
ComLep,plant
HanImp,plant
ZizJoa,plant
PipSti,plant
MimTen,plant
LibFer,plant
CombLep,plant
BauChe,plant
AspPyr,plant
acrididae_1,insect
acrididae_2,insect
acrididae_3,insect
acrididae_4,insect
acrididae_5,insect
acrididae_6,insect
afidio_1,insect
afidio_2,insect
afidio_3,insect
afidio_4,insect
alydidae_1,insect
alydidae_2,insect
ascalaphidae_1,insect
ceratopogonidae_1,insect
chalcidoidea_1,insect
chrysomelidae_1,insect
chrysomelidae_2,insect
chrysomelidae_3,insect
chrysomelidae_4,insect
cicadellidae_1,insect
cicadellidae_2,insect
coccinellidae_1,insect
coccoidea_1,insect
coccoidea_2,insect
coccoidea_3,insect
coptopterygidae_1,insect
coptopterygidae_2,insect
coptopterygidae_3,insect
cupedidae_1,insect
curculionoidea_1,insect
ensifera_2,insect
ensifera_3,insect
gryllidae_1,insect
hemiptera_1,insect
hemiptera_4,insect
heteronemiidae_1,insect
heteronemiidae_2,insect
lagarta_1,insect
lagarta_2,insect
lagarta_3,insect
lagarta_4,insect
lagarta_5,insect
mantispidae_1,insect
mariposa_1,insect
nabidae_1,insect
nymphalidae_1,insect
pentatomidae_1,insect
pentatomidae_2,insect
pentatomidae_3,insect
photinaidae_1,insect
pieridae_1,insect
proscopiidae_1,insect
proscopiidae_2,insect
proscopiidae_3,insect
reduviidae_1,insect
reduviidae_2,insect
romaleidae_1,insect
romaleidae_2,insect
romaleidae_3,insect
staphylinidae_1,insect
tenebrionidae_1,insect
tettigoniidae_1,insect
tettigoniidae_2,insect
tettigoniidae_3,insect
tettigoniidae_4,insect
thespidae_1,insect
thespidae_2,insect
thespidae_3,insect
vatidae_1,insect
vatidae_2,insect
vespidae_1,insect
vespoidea_1,insect
